,#agents,current step,#positives,#neutrals,#negatives,#experts,#liars,#initial_connections,#news,#cluster distance,#comm_protocol,#conv_protocol,#steps
0,100,1,5,90,5,5,5,200,1,0,SYO,discussion,1500
0,100,2,5,90,5,5,5,200,1,0,SYO,discussion,1500
0,100,3,5,90,5,5,5,200,1,0,SYO,discussion,1500
0,100,4,5,90,5,5,5,200,1,0,SYO,discussion,1500
0,100,5,5,90,5,5,5,200,1,0,SYO,discussion,1500
0,100,6,5,90,5,5,5,200,1,0,SYO,discussion,1500
0,100,7,5,90,5,5,5,200,1,0,SYO,discussion,1500
0,100,8,5,90,5,5,5,200,1,0,SYO,discussion,1500
0,100,9,5,90,5,5,5,200,1,0,SYO,discussion,1500
0,100,10,5,90,5,5,5,200,1,0,SYO,discussion,1500
0,100,11,5,90,5,5,5,200,1,0,SYO,discussion,1500
0,100,12,6,89,5,5,5,200,1,0,SYO,discussion,1500
0,100,13,6,89,5,5,5,200,1,0,SYO,discussion,1500
0,100,14,6,89,5,5,5,200,1,0,SYO,discussion,1500
0,100,15,6,89,5,5,5,200,1,0,SYO,discussion,1500
0,100,16,6,88,6,5,5,200,1,0,SYO,discussion,1500
0,100,17,6,88,6,5,5,200,1,0,SYO,discussion,1500
0,100,18,6,88,6,5,5,200,1,0,SYO,discussion,1500
0,100,19,6,88,6,5,5,200,1,0,SYO,discussion,1500
0,100,20,6,88,6,5,5,200,1,0,SYO,discussion,1500
0,100,21,6,88,6,5,5,200,1,0,SYO,discussion,1500
0,100,22,6,87,7,5,5,200,1,0,SYO,discussion,1500
0,100,23,6,87,7,5,5,200,1,0,SYO,discussion,1500
0,100,24,6,87,7,5,5,200,1,0,SYO,discussion,1500
0,100,25,6,87,7,5,5,200,1,0,SYO,discussion,1500
0,100,26,6,87,7,5,5,200,1,0,SYO,discussion,1500
0,100,27,6,87,7,5,5,200,1,0,SYO,discussion,1500
0,100,28,6,87,7,5,5,200,1,0,SYO,discussion,1500
0,100,29,6,87,7,5,5,200,1,0,SYO,discussion,1500
0,100,30,6,87,7,5,5,200,1,0,SYO,discussion,1500
0,100,31,6,87,7,5,5,200,1,0,SYO,discussion,1500
0,100,32,6,87,7,5,5,200,1,0,SYO,discussion,1500
0,100,33,6,87,7,5,5,200,1,0,SYO,discussion,1500
0,100,34,6,87,7,5,5,200,1,0,SYO,discussion,1500
0,100,35,6,87,7,5,5,200,1,0,SYO,discussion,1500
0,100,36,6,87,7,5,5,200,1,0,SYO,discussion,1500
0,100,37,7,86,7,5,5,200,1,0,SYO,discussion,1500
0,100,38,7,86,7,5,5,200,1,0,SYO,discussion,1500
0,100,39,7,86,7,5,5,200,1,0,SYO,discussion,1500
0,100,40,7,86,7,5,5,200,1,0,SYO,discussion,1500
0,100,41,7,86,7,5,5,200,1,0,SYO,discussion,1500
0,100,42,7,86,7,5,5,200,1,0,SYO,discussion,1500
0,100,43,7,86,7,5,5,200,1,0,SYO,discussion,1500
0,100,44,7,86,7,5,5,200,1,0,SYO,discussion,1500
0,100,45,7,86,7,5,5,200,1,0,SYO,discussion,1500
0,100,46,7,86,7,5,5,200,1,0,SYO,discussion,1500
0,100,47,7,86,7,5,5,200,1,0,SYO,discussion,1500
0,100,48,7,86,7,5,5,200,1,0,SYO,discussion,1500
0,100,49,7,86,7,5,5,200,1,0,SYO,discussion,1500
0,100,50,7,86,7,5,5,200,1,0,SYO,discussion,1500
0,100,51,7,86,7,5,5,200,1,0,SYO,discussion,1500
0,100,52,7,86,7,5,5,200,1,0,SYO,discussion,1500
0,100,53,7,86,7,5,5,200,1,0,SYO,discussion,1500
0,100,54,7,86,7,5,5,200,1,0,SYO,discussion,1500
0,100,55,7,86,7,5,5,200,1,0,SYO,discussion,1500
0,100,56,7,85,8,5,5,200,1,0,SYO,discussion,1500
0,100,57,7,85,8,5,5,200,1,0,SYO,discussion,1500
0,100,58,7,85,8,5,5,200,1,0,SYO,discussion,1500
0,100,59,7,85,8,5,5,200,1,0,SYO,discussion,1500
0,100,60,7,85,8,5,5,200,1,0,SYO,discussion,1500
0,100,61,7,85,8,5,5,200,1,0,SYO,discussion,1500
0,100,62,7,85,8,5,5,200,1,0,SYO,discussion,1500
0,100,63,7,85,8,5,5,200,1,0,SYO,discussion,1500
0,100,64,7,85,8,5,5,200,1,0,SYO,discussion,1500
0,100,65,7,85,8,5,5,200,1,0,SYO,discussion,1500
0,100,66,7,85,8,5,5,200,1,0,SYO,discussion,1500
0,100,67,7,85,8,5,5,200,1,0,SYO,discussion,1500
0,100,68,7,85,8,5,5,200,1,0,SYO,discussion,1500
0,100,69,7,85,8,5,5,200,1,0,SYO,discussion,1500
0,100,70,7,85,8,5,5,200,1,0,SYO,discussion,1500
0,100,71,7,85,8,5,5,200,1,0,SYO,discussion,1500
0,100,72,7,85,8,5,5,200,1,0,SYO,discussion,1500
0,100,73,7,84,9,5,5,200,1,0,SYO,discussion,1500
0,100,74,7,84,9,5,5,200,1,0,SYO,discussion,1500
0,100,75,7,84,9,5,5,200,1,0,SYO,discussion,1500
0,100,76,7,84,9,5,5,200,1,0,SYO,discussion,1500
0,100,77,7,84,9,5,5,200,1,0,SYO,discussion,1500
