,#agents,current step,#positives,#neutrals,#negatives,#experts,#liars,#initial_connections,#news,#cluster distance,#comm_protocol,#conv_protocol,#steps
0,100,1,5,90,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,2,5,90,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,3,5,90,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,4,5,90,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,5,5,90,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,6,5,90,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,7,5,90,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,8,5,90,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,9,5,90,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,10,5,90,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,11,5,90,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,12,5,90,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,13,5,90,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,14,5,90,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,15,5,90,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,16,6,89,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,17,6,89,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,18,6,89,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,19,6,89,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,20,6,89,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,21,6,89,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,22,6,89,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,23,6,89,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,24,6,89,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,25,6,89,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,26,6,89,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,27,6,89,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,28,6,89,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,29,6,89,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,30,6,89,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,31,6,89,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,32,6,89,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,33,6,89,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,34,6,89,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,35,6,89,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,36,6,89,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,37,6,89,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,38,6,89,5,5,5,200,1,0,SYO,majority_opinion,1500
